INFO 2021-01-29 08:26:53,872 autoreload Watching for file changes with StatReloader
INFO 2021-01-29 08:27:10,808 autoreload Watching for file changes with StatReloader
INFO 2021-01-29 08:27:13,651 basehttp "GET / HTTP/1.1" 200 2748
WARNING 2021-01-29 08:27:13,688 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668
WARNING 2021-01-29 08:27:13,688 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674
WARNING 2021-01-29 08:27:13,710 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668
INFO 2021-01-29 08:38:26,855 autoreload C:\Users\sanke\PycharmProjects\MyGreetingApp\GreetingApp\Greeting\models.py changed, reloading.
INFO 2021-01-29 08:38:27,872 autoreload Watching for file changes with StatReloader 617
INFO 2021-01-29 08:38:33,001 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:38:33,049 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:33,051 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:37,273 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:38:37,303 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:38:37,303 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:37,318 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:42,089 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:38:42,122 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:38:42,123 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:42,141 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:42,481 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:38:42,514 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:38:42,514 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
INFO 2021-01-29 08:38:42,712 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:38:42,739 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:38:42,740 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:42,756 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:42,872 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:38:42,898 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:38:42,900 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:42,913 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:43,041 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:38:43,072 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:43,072 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:49,436 views New user is added to greeting database. 27
INFO 2021-01-29 08:38:49,441 basehttp "POST / HTTP/1.1" 302 0 157
INFO 2021-01-29 08:38:49,447 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:38:49,452 basehttp "GET /show HTTP/1.1" 200 2573 157
WARNING 2021-01-29 08:38:49,483 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:49,484 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:55,767 views Update page is rendered for user 1. 57
INFO 2021-01-29 08:38:55,773 basehttp "GET /update/1 HTTP/1.1" 200 2725 157
WARNING 2021-01-29 08:38:55,801 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:55,801 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:38:55,817 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:38:57,107 views data for user id 1 is updated in greeting databse  51
INFO 2021-01-29 08:38:57,108 basehttp "POST /update/1 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:38:57,113 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:38:57,117 basehttp "GET /show HTTP/1.1" 200 2842 157
WARNING 2021-01-29 08:38:57,145 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:38:57,145 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:38:57,157 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:39:01,415 views Update page is rendered for user 1. 57
INFO 2021-01-29 08:39:01,419 basehttp "GET /update/1 HTTP/1.1" 200 2725 157
WARNING 2021-01-29 08:39:01,447 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:39:01,448 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:39:01,467 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:39:02,678 views data for user id 1 is updated in greeting databse  51
INFO 2021-01-29 08:39:02,679 basehttp "POST /update/1 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:39:02,683 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:39:02,686 basehttp "GET /show HTTP/1.1" 200 2842 157
WARNING 2021-01-29 08:39:02,714 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:39:02,715 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:39:09,167 views Update page is rendered for user 1. 57
